Issuer Ticker	main domain	Name	Sector	Location	Auswahl Eingetragener Marken
GEBN	geberit.com	GEBERIT AG	Industrials	Switzerland	GEBERIT; MAPRESS; AQUACLEAN; DUOFIX; SIGMA; MONOLITH; MEPLA; HDPE; SELNOVA; IFÖ
HEIA	theheinekencompany.com	HEINEKEN NV	Consumer Staples	Netherlands	HEINEKEN; AMSTEL; TIGER; DESPERADOS; SOL; BIRRA MORETTI; LAGUNITAS; KRONENBOURG 1664; RED STRIPE; AFFLIGEM
FER	ferrovial.com	FERROVIAL	Industrials	Spain	FERROVIAL; CINTRA; FERROVIAL CONSTRUCTION; FERROVIAL AEROPORTS; BUDIMEX; WEBBER; FERROVIAL SERVICES; FERROVIAL ENERGY; FERROVIAL AGROMAN; POWER INFRA
ERIC B	ericsson.com	ERICSSON B	Information Technology	Sweden	ERICSSON; RADIO DOT; SPECTRUM SHARING; ERICS­SON RADIO SYSTEM; ERICSSON CLOUD RAN; MOBILITY REPORT; SECURE INK; BLADE SERVER SYSTEM; MINI-LINK; MASSIVE MIMO
DTG	daimlertruck.com	DAIMLER TRUCK HOLDING E AG	Industrials	Germany	MERCEDES-BENZ TRUCKS; FREIGHTLINER; WESTERN STAR; FUSO; BHARATBENZ; SETRA; THOMAS BUILT BUSES; DETROIT DIESEL; RIZON; TORC ROBOTICS
DNB	dnb.no	DNB BANK	Financials	Norway	DNB; VIPPS; SBANKEN; DNB MARKETS; DNB LIVSFORSIKRING; DNB ASSET MANAGEMENT; DNB BOLIGKREDITT; DNB ARENA; SPAREBANKEN NOR; OPENERGY
SAND	sandvik.com	SANDVIK	Industrials	Sweden	SANDVIK; COROMANT; SECO; WALTER; DORMER PRAMET; OSPREY; DESWIK; ARTISAN; TDM SYSTEMS; MIRANDA
SWED A	swedbank.com	SWEDBANK	Financials	Sweden	SWEDBANK; SWEDBANK PAY; PAYEX; ROBUR; SPARBANKEN; SWEDBANK HYPOTEK; SPARTEK; SWEDBANK INSURANCE; SWEDBANK AB; SWEDBANK ESTONIA
EQT	eqtgroup.com	EQT	Financials	Sweden	EQT; EQT INFRASTRUCTURE; EQT VENTURES; EQT GROWTH; EQT FUTURE; BPEA EQT; MOTHERBRAIN; EQT EXETER; EQT PRIVATE EQUITY; EQT X
VNA	vonovia.de	VONOVIA SE	Real Estate	Germany	VONOVIA; BUWOG; PFLEGEN & WOHNEN; TERRITORY; SÜDOSTWOHNEN; VONOVIA TECH; VONOVIA ENERGIE; VONOVIA LIVING; VONOVIA MODERNISIERUNG; QUARTIER ZUKUNFT
UCB	ucb.com	UCB SA	Health Care	Belgium	CIMZIA; VIMPAT; BRIVIACT; KEPPRA; NAYZILAM; NEUPRO; EVENITY; ZILUCOPLAN; ROZANOLIXIZUMAB; BIMZELX
SDZ	sandoz.com	SANDOZ GROUP AG	Health Care	Switzerland	SANDOZ; ZARXIO; OMNITROPE; GLATOPA; HYRIMOZ; ERELZI; ZIEXTENZO; ACCUFIL; NOUGAT; PFLCORT
LDO	leonardo.com	LEONARDO FINMECCANICA SPA	Industrials	Italy	LEONARDO; AGUSTAWESTLAND (AW); LEONARDO DRS; TELESPAZIO; THALES ALENIA SPACE; ATR; OTOMELARA; PIVOT; SKYISTAR; SEON
KBC	kbc.com	KBC GROEP	Financials	Belgium	KBC; KBC BRUSSELS; CBC BANQUE; ČSOB; K&H BANK; UBB; BOLERO; KATE; KBC MOBILE; CSOB SMARTBANKING
TEF	telefonica.com	TELEFONICA SA	Communication	Spain	TELEFONICA; MOVISTAR; O2; VIVO; TELEFONICA TECH; WAYRA; TUENDE; MOVISTAR +; DIGITAL TELCO; ATENTO
AV.	aviva.com	AVIVA PLC	Financials	United Kingdom	AVIVA; AVIVA INVESTORS; NORWICH UNION; FRIENDS LIFE; AVIVA ZERO; AVIVA DIGICARE; AVIVA PLUS; AVIVA HEALTH; AVIVA PENSIONS; PRUDENTIAL ASSURANCE COMPANY
VOW3	volkswagen-group.com	VOLKSWAGEN NON-VOTING PREF AG	Consumer Discretionary	Germany	VOLKSWAGEN; AUDI; PORSCHE; ŠKODA; SEAT; CUPRA; BENTLEY; LAMBORGHINI; DUCATI; MAN
VOD	vodafone.com	VODAFONE GROUP PLC	Communication	United Kingdom	VODAFONE; VOXI; VODACOM; M-PESA; VODAFONE IDEA; SAFARICOM (stake); VODAFONE ZIGGO; GLOBAL ENTERPRISE; ONE NET; READY?
MTX	mtu.de	MTU AERO ENGINES HOLDING AG	Industrials	Germany	MTU AERO ENGINES; MTU MAINTENANCE; MTUplus; MTU CFC; MTU POWERPACK; V2500; PW1100G-JM (partner); GE38; LM6000; T408
ACA	credit-agricole.com	CREDIT AGRICOLE SA	Financials	France	CREDIT AGRICOLE; LCL; BforBank; AMUNDI; CA INDOSUEZ; CACEIS; CARIPARMA; EUROFACTOR; PACIFICA; CA LEASING
HEXA B	hexagon.com	HEXAGON CLASS B	Information Technology	Sweden	HEXAGON; LEICA GEOSYSTEMS; INTERGRAPH; NOVATEL; M.Sc SOFTWARE; AUTONOMOUSTUFF; GEOSLAM; Q-DAS; GEOSPATIAL; AKER SOLUTIONS
FRE	fresenius.com	FRESENIUS SE AND CO KGAA	Health Care	Germany	FRESENIUS; FRESENIUS MEDICAL CARE; FRESENIUS KABI; FRESENIUS HELIOS; FRESENIUS VAMED; QUIRÓNSALUD; COMPOFLEX; CITRAFLEET; KABIVEN; AMINOMIX
SHB A	handelsbanken.com	SVENSKA HANDELSBANKEN-A SHS	Financials	Sweden	HANDELSBANKEN; HANDELSBANKEN CAPITAL MARKETS; STADSHYPOTEK; ECS­TER; HANDELSBANKEN FONDER; HANDELSBANKEN PELARE; HANDELSBANKEN LAN; HANDELSBANKEN INVEST; HANDELSBANKEN LIFE; HANDELSBANKEN DIRECT
DSFIR	dsm-firmenich.com	DSM FIRMENICH AG	Materials	Netherlands	DSM; FIRMENICH; QUALI; DELVO; TASTE ELEVATION; VEROFFI; AMINOFEED; VITAMIN-B™; STANYL; OATWELL
AENA	aena.es	AENA SME SA	Industrials	Spain	AENA; AENA VENTURES; AENA INTERNACIONAL; AENA PARKING; AENA CLUB CLIENTES; AENA CARGA AÉREA; AENA DESARROLLOS; AENAVERSO; AENA GREEN HUB; AENA ONE
LGEN	legalandgeneralgroup.com	LEGAL AND GENERAL GROUP PLC	Financials	United Kingdom	LEGAL & GENERAL; LGIM; BANNER LIFE; LEGAL & GENERAL AMERICA; L&G HOMES; CALAHOMES; L&G CAPITAL; MATURE SAVINGS; TEMPO; L&G RETIREMENT
STLAM	stellantis.com	STELLANTIS NV	Consumer Discretionary	Italy	PEUGEOT; FIAT; CHRYSLER; JEEP; ALFA ROMEO; MASERATI; OPEL; CITROËN; RAM; ABARTH
STMMI	st.com	STMICROELECTRONICS NV	Information Technology	France	STMICROELECTRONICS; ST; STM32; STPOWER; ST-SIC; SENSORTILE; STSPIN; VIPER; M24SR; TIME-OF-FLIGHT
RI	pernod-ricard.com	PERNOD RICARD SA	Consumer Staples	France	ABSOLUT; JAMESON; CHIVAS REGAL; BALLANTINE’S; MALIBU; HAVANA CLUB; GH MUMM; MARTELL; THE GLENLIVET; BEFEATER
NXT	nextplc.co.uk	NEXT PLC	Consumer Discretionary	United Kingdom	NEXT; LIPSY; LABEL MIX; FABLETICS; DYSON (at retail); EMU AUSTRALIA; ELEMIS; ELLESSE; ESTÉE LAUDER; EAST END PRINTS
PRY	prysmiangroup.com	PRYSMIAN	Industrials	Italy	PRYSMIAN; DRYCORE; SIROCCO; FIBER WATCH; ROLLABLE RIBBON; LINKX; SMARTCORE; BICONIC; P‐LITE; SUBSEAPIPE
HNR1	hannover-re.com	HANNOVER RUECK	Financials	Germany	HANNOVER RE; HANNOVER RÜCK; E+S RÜCK; GLADIATOR; HANNORe; HR SCOR; HR PIER; HR FLOW; HR PIE; HR LIFE
CLNX	cellnextelecom.com	CELLNEX TELECOM SA	Communication	Spain	CELLNEX; CELLNEX TOWERS; CELLNEX UK; CELLNEX ITALIA; CELLNEX FRANCE; CELLNEX DAS; CELLNEX FIBER; EDZCOM; ON TOWER; EVERYTHING CONNECTS
KPN	kpn.com	KONINKLIJKE KPN NV	Communication	Netherlands	KPN; XS4ALL; SIMYO; KPN SECURITY; KPN HEALTH; SOLCON; INSPARK; KPN PARTNERNET; T-MOBILE (NL MVNO); KPN WHOLESALE
KRZ	kerrygroup.com	KERRY GROUP PLC	Consumer Staples	Ireland	KERRY; DAVINCI GOURMET; BIG TRAIN; GOLDEN DIPT; ISLAND OASIS; OREGON CHAI; KETTLE COLLECTION; RED ARROW; KERRYMAID; PRIDE OF THE FARM
SCMN	swisscom.ch	SWISSCOM AG	Communication	Switzerland	SWISSCOM; SWISSCOM BLUE; WOLO; FASTWEB; LOCALSEARCH; MEDIACONNECT; SWISSCOM DIGITAL; M-KUHN; WINGO; MXP
SAB	bancosabadell.com	BANCO DE SABADELL SA	Financials	Spain	BANCO SABADELL; SABADELL CAM; TSB BANK; SABADELL CONSUMER; SABADELL PROTEC; SABADELL URQUIJO; SABADELL SANI; KEYSTONE; SABADELL VENTURES; SABADELL TRADE
PHIA	philips.com	KONINKLIJKE PHILIPS NV	Health Care	Netherlands	PHILIPS; PHILIPS HUE; SONICARE; AVENT; RESPIRONICS; DREAMSTATION; IMAGE GUIDED THERAPY; LUMIFY; MRI SMARTSPEED; SENSEIQ
IHG	ihgplc.com	INTERCONTINENTAL HOTELS GROUP PLC	Consumer Discretionary	United Kingdom	INTERCONTINENTAL; KIMPTON; CROWNE PLAZA; HOLIDAY INN; HOLIDAY INN EXPRESS; VOCO; REGENT; SIX SENSES; EVEN HOTELS; STAYBRIDGE SUITES
VWS	vestas.com	VESTAS WIND SYSTEMS	Industrials	Denmark	VESTAS; VESTAS POWERPLUS™; VESTAS INTELLILIGHT; V164; V236-15 MW; VESTAS SAFETY SYSTEM; VESTAS OFFSHORE; MULTIBRAND SERVICES; VESTAS ONSHORE; VESTAS INSIGHT
MRK	merckgroup.com	MERCK	Health Care	Germany	MERCK; SIGMA-ALDRICH; MILLIPORE; SAFC; CALBIOCHEM; EMPLURA; MILLIPLEX; XIRONA; SUPERSYNTHES; CHROMABOND
SGE	sage.com	THE SAGE GROUP PLC	Information Technology	United Kingdom	SAGE; SAGE 50; SAGE 100; SAGE 200; SAGE X3; SAGE INTACCT; SAGE PAY; SAGE HR; SAGE PEOPLE; SAGE BUSINESS CLOUD
KOG	kongsberg.com	KONGSBERG GRUPPEN	Industrials	Norway	KONGSBERG; KONGSBERG MARITIME; KONGSBERG DIGITAL; KONGSBERG DEFENCE & AEROSPACE; SIMRAD; SEATEX; SEAPATH; PROTECHT; ROLLSTAB; K-MATE
SAAB B	saab.com	SAAB CLASS B	Industrials	Sweden	SAAB; GRIPEN; GUNGNIR; CARL-GUSTAF; RBS 70; NLAW; GLOBALEYE; AREXIS; SKELDAR; BAMSE
PKO	pkobp.pl	POWSZECHNA KASA OSZCZEDNOSCI BANK	Financials	Poland	PKO BANK POLSKI; PKO; PKO BP; INTELIGO; IKO; PKO LEASING; PKO TFI; PKO UBEZPIECZENIA; PKO ROTUNDA; PKO BANKOMATY
NN	nn-group.com	NN GROUP NV	Financials	Netherlands	NN; NATIONALE-NEDERLANDEN; NN INVESTMENT PARTNERS; OHRA; DELTA LLOYD; ZELFVERZEKERD; NN FUTURE MATTERS; BE FRANK; AZL; MOVIR
BAMI	bancobpm.it	BANCO BPM	Financials	Italy	BANCO BPM; WEBANK; PRO FAMILY; AGOS; BANCA AKROS; BANCA ALETTI; BIPIEMME; BANCO POPOLARE; BANCA POPOLARE DI MILANO; CONSUM.IT
LISP	lindt-spruengli.com	CHOCOLADEFABRIKEN LINDT & SPRUENGL	Consumer Staples	Switzerland	LINDT; LINDOR; EXCELLENCE; HELLO; GHIRARDELLI; RUSSELL STOVER; CAFFAREL; HOFBAUER; KÜFFERLE; GOLD BUNNY
ESSITY B	essity.com	ESSITY CLASS B	Consumer Staples	Sweden	TENA; TORK; JOBST; LEUKOPLAST; LIBERO; LIBRESSE; LOTUS; NOSOTRAS; SABA; TEMPO
KER	kering.com	KERING SA	Consumer Discretionary	France	GUCCI; SAINT LAURENT; BOTTEGA VENETA; BALENCIAGA; ALEXANDER MCQUEEN; BRIONI; BOUCHERON; POMELLATO; QEELIN; KERING EYEWEAR
HLMA	halma.com	HALMA PLC	Information Technology	United Kingdom	CROWCON; KEELER; HWM; AVO PHOTONICS; MEDICEL; PALAS; TROLEX; BEKA; ARGUS; LANDAUER
SHL	siemens-healthineers.com	SIEMENS HEALTHINEERS AG	Health Care	Germany	SIEMENS HEALTHINEERS; SOMATOM; MAGNETOM; ACUSON; ATELLICA; ADVIA; RAPIDPOINT; SYNGO; CLINICALGO; AI-PATHWAY COMPANION
A5G	aib.ie	AIB GROUP PLC	Financials	Ireland	AIB; ALLIED IRISH BANKS; AIB MORTGAGES; AIB MOBILE; AIB INTERNET BANKING; AIB CORPORATE FINANCE; EBS; HAVEN MORTGAGES; AIB PENSIONS; AIB FINANCE
SGSN	sgs.com	SGS SA	Industrials	Switzerland	SGS; SGS DIGICOMPLY; SGS INSPIRE; SGS ON TRACK; SGS CERTIFIED; SGS PERFORMEX; SGS IQ; SGS RISK NAVIGATOR; SGS DIGIFRESH; SGS ODIN
BT.A	bt.com	BT GROUP PLC	Communication	United Kingdom	BT; EE; PLUSNET; BT SPORT; OPENREACH; BT WHOLESALE; BT GLOBAL SERVICES; BT CLOUD; BT WIFI; DIGITAL VOICE
REP	repsol.com	REPSOL SA	Energy	Spain	REPSOL; REPSOL MOTO; REPSOL RACING; REPSOL BUTANO; CAMPSA; PETRONOR; REPSOL GAS; MAXIMA; KLIC; SOLAR 360
GMAB	genmab.com	GENMAB	Health Care	Denmark	GENMAB; DARZALEX; DARZALEX FASPRO; TECVAYLI; EPCINLY; TIVDAK; DUOBODY; HEXABODY; DUOHEXABODY; GEN1046
PNDORA	pandoragroup.com	PANDORA	Consumer Discretionary	Denmark	PANDORA; PANDORA ME; PANDORA SHINE; PANDORA ROSE; PANDORA REFLEXIONS; PANDORA ESSENCE; PANDORA MOMENTS; PANDORA O; PANDORA BOX; PANDORA CLUB
SOON	sonova.com	SONOVA HOLDING AG	Health Care	Switzerland	SONOVA; PHONAK; UNITRON; HANSATON; ADVANCED BIONICS; ROGER; MARVEL; LUMITY; PARADISE; VIRTO
COLO B	coloplast.com	COLOPLAST B	Health Care	Denmark	COLOPLAST; SENSURA; BRAVA; SPEEDICATH; PERISTEEN; BIATAIN; COMFEEL; ASSURA; PERIOFIT; TRIO
STMN	straumann.com	STRAUMANN HOLDING AG	Health Care	Switzerland	STRAUMANN; NEODENT; CLEARCORRECT; MEDENTIKA; ANTHOGYR; DENTAL WINGS; NUVO; BLX; ROXOLID; SLACTIVE
RYA	ryanair.com	RYANAIR HOLDINGS PLC	Industrials	Ireland	RYANAIR; RYANAIR ROOMS; RYANAIR LABS; BUZZ; MALTA AIR; LAUDA; RYANAIR HOLIDAYS; RYANAIR CAR HIRE; RYANAIR COMMS; RYANAIR CASH PASSPORT
TRN	terna.it	TERNA RETE ELETTRICA NAZIONALE	Utilities	Italy	TERNA; TERNA PLUS; TERNA RETE ITALIA; TERNA ENERGY SOLUTIONS; TERNA STORAGE; AVVENIA
SCHP	schindler.com	SCHINDLER HOLDING PAR AG	Industrials	Switzerland	SCHINDLER; PORT; MYPORT; SCHINDLER AHEAD; CLEANMOBILITY; R.I.S.E; FIELDLINK; SMARTMIRROR; DIGITALMEDIA; ELEVATEME
SY1	symrise.com	SYMRISE AG	Materials	Germany	SYMRISE; DIANA; ADF/IDF; VALENT; AMBROXAN; SYMSWEET; HYDROLITE; CRINIPAN; TREALIX; SYNOXYL
INF	informa.com	INFORMA PLC	Communication	United Kingdom	INFORMA; INFORMA MARKETS; INFORMA CONNECT; INFORMA TECH; TAYLOR & FRANCIS; ROUTLEDGE; CITELINE; OMDIA; PHARMA INTELLIGENCE; FAN EXPO
UPM	upm.com	UPM-KYMMENE	Materials	Finland	UPM; RAFLATAC; BIOFORE; TIMBER; PLYWOOD; BIOFUELS; COMMUNICATION PAPERS; ENERGY; PULP; BIOCHEMICALS
EPI A	epiroc.com	EPIROC CLASS A	Industrials	Sweden	EPIROC; SMARTROC; FLEXIROC; POWERROC; BOOMER; SIMBA; PIT VIPER; SCOOPTRAM; MY EPIROC; CERTIQ
ABN	abnamro.com	ABN AMRO BANK NV	Financials	Netherlands	ABN AMRO; MEESPIERSON; TIKKIE; NEW10; GRIP; FRANX; ABN AMRO CLEARING; MONEYOU; ABN AMRO INSIGHTS; BUUT
KRX	kingspan.com	KINGSPAN GROUP PLC	Industrials	Ireland	KINGSPAN; KOOLTHERM; QUADCORE; OPTIM-R; TEK; LIGHT + AIR; WATER & ENERGY; ACCESS FLOORS; GREENGUARD; DATACENTRE
MONC	monclergroup.com	MONCLER	Consumer Discretionary	Italy	MONCLER; MONCLER GENIUS; MONCLER GRENOBLE; MONCLER ENFANT; MONCLER FRAGMENT; MONCLER X; MONCLER VOICES; MONCLER LUNETTES; MONCLER C; MONCLER 1952
CARL B	carlsberggroup.com	CARLSBERG AS CL B	Consumer Staples	Denmark	CARLSBERG; TUBORG; GRIMBERGEN; HOLSTEN; KRONENBOURG 1664; SOMERSBY; BALTIKA; JACOBSEN; RINGNES; MYTHOS
FBK	finecobank.com	FINECOBANK BANCA FINECO	Financials	Italy	FINECO; FINECOBANK; SMART REBALANCING; MONEYMAP; FINECO ASSET MANAGEMENT; FINECO TRADING; FINECO PLUS; ROBO4ADVISOR; FINECO ADVICE; FINECO MORTGAGE
ENX	euronext.com	EURONEXT NV	Financials	France	EURONEXT; EURONEXT GROWTH; EURONEXT ACCESS; EURONEXT TECH LEADERS; MTS; FASTMATCH; EURONEXT FX; INTERBOLSA; EURONEXT CLEARING; EURONEXT SECURITIES
BIRG	bankofireland.com	BANK OF IRELAND GROUP PLC	Financials	Ireland	BANK OF IRELAND; BOI; 365 ONLINE; BOI MORTGAGE BANK; BANK OF IRELAND LIFE; BANK OF IRELAND UK; POSTFX; BOI PAY; APPROVE; GLOBAL MARKETS
MT	arcelormittal.com	ARCELORMITTAL SA	Materials	France	ARCELORMITTAL; XCARB; ICARE; FORTIFORM; MAGNELIS; USIBOR; DURBAR; AMSTRONG; STEELANOL; INDX
SN.	smith-nephew.com	SMITH AND NEPHEW PLC	Health Care	United Kingdom	SMITH & NEPHEW; PICO; ACTICOAT; RENASYS; TRIGEN; JOURNEY II; VISIONAIRE; ALLEVYN; VERSAJET; OXINIUM
BAER	juliusbaer.com	JULIUS BAER GRUPPE AG	Financials	Switzerland	JULIUS BAER; JB; JULIUS BAER NEXT GENERATION; JULIUS BAER DIGITAL; JULIUS BAER ART COLLECTION; JULIUS BAER GOLD; JULIUS BAER FUNDS; JULIUS BAER ACADEMY; JULIUS BAER NAVIGATOR; JULIUS BAER MARKET LINK
FGR	eiffage.com	EIFFAGE SA	Industrials	France	EIFFAGE CONSTRUCTION; EIFFAGE IMMOBILIER; EIFFAGE ROUTE; EIFFAGE GÉNIE CIVIL; EIFFAGE ÉNERGIE SYSTÈMES; EIFFAGE MÉTAL; APRR; AREA; CLEMESSY; URBYS
HEN3	henkel.com	HENKEL & KGAA PREF AG	Consumer Staples	Germany	PERSIL; SCHWARZKOPF; LOCTITE; PRITT; DIAL; PUREX; SNUGGLE; ALL; TEROSON; FA
LOGN	logitech.com	LOGITECH INTERNATIONAL SA	Information Technology	Switzerland	LOGITECH; LOGI; LOGITECH G; ULTIMATE EARS; JAYBIRD; ASTRO GAMING; BLUE MICROPHONES; STREAMLABS; SAITEK; HARMONY
EVO	evolution.com	EVOLUTION	Consumer Discretionary	Sweden	EVOLUTION; EZUGI; NETENT; RED TIGER; BIG TIME GAMING; NOLIMIT CITY; DIGIWHEEL; CRAZY TIME; LIGHTNING ROULETTE; DREAM CATCHER
SRG	snam.it	SNAM	Utilities	Italy	SNAM; SNAM RETE GAS; SNAM4MOBILITY; SNAM4EFFICIENCY; SNAM4ENVIRONMENT; STOGIT; GNL ITALIA; CUBOGAS; IES BIOGAS; TERNA ENERGY SOLUTIONS
ACS	grupoacs.com	ACS ACTIVIDADES DE CONSTRUCCION Y	Industrials	Spain	ACS; DRAGADOS; HOCHTIEF; TURNER; FLATIRON; CIMIC; LEIGHTON ASIA; IRIDIUM; COBRA; CLECE
KNIN	kuehne-nagel.com	KUEHNE UND NAGEL INTERNATIONAL AG	Industrials	Switzerland	KUEHNE + NAGEL; KN; SEAEXPLORER; QUICK; APEX LOGISTICS; KN PHARMACHAIN; KN LOGIN; KN FREIGHTNET; KN SECURECHAIN; KNSIGHTS
PKN	orlen.pl	ORLEN SA	Energy	Poland	ORLEN; VERVA; EFECTA; ORLEN OIL; ORLEN GAZ; ORLEN PACZKA; STOP CAFE; TANKARTA; VITAY; STAR
ALFA	alfalaval.com	ALFA LAVAL	Industrials	Sweden	ALFA LAVAL; OPTIWIA; PURI-FILTER; UNI-MATIC; THERMICON; DELLA-SAN; DELLA-FLEX; DELLA-CLEAN; LISEP; HYDUO
SPSN	swiss-prime-site.ch	SWISS PRIME SITE AG	Real Estate	Switzerland	SWISS PRIME SITE; SWISS PRIME SITE SOLUTIONS; WINCASA; JELMOLI; PRIME TOWER; WESTSIDE; MAAGHOF; YOND; STÜCKI PARK; OPS IMMOBILIEN
CNA	centrica.com	CENTRICA PLC	Utilities	United Kingdom	BRITISH GAS; HIVE; BORD GÁIS ENERGY; CENTRICA BUSINESS SOLUTIONS; LOCAL HEROES; DYNO; PH JONES; SPIRIT ENERGY; CENTRICA ENERGY; CENTRICA STORAGE
ADM	admiralgroup.co.uk	ADMIRAL GROUP PLC	Financials	United Kingdom	ADMIRAL; ELEPHANT; DIAMOND; BELL; GLADIATOR; VEYGO; CONFUSED.COM; ADMIRAL MONEY; ADMIRAL LOANS; ADMIRAL VAN
AKZA	akzonobel.com	AKZO NOBEL NV	Materials	Netherlands	DULUX; SIKKENS; INTERNATIONAL; INTERPON; CETOL; CHEMCRAFT; COLOURLAND; NORDSJÖ; ALBA; TRIMETAL
BESI	besi.com	BE SEMICONDUCTOR INDUSTRIES NV	Information Technology	Netherlands	BESI; FICO; DATACON; ESEC; MECO; RADIAL; HYBRID BONDING; PLASMA DICING; DIE BONDER; WAFER-LEVEL PACKAGING
BEI	beiersdorf.com	BEIERSDORF AG	Consumer Staples	Germany	NIVEA; EUCERIN; AQUAPHOR; HANSAPLAST; ELASTOPLAST; LA PRAIRIE; LABELLO; COPPERTONE; FLORENA; TESAFILM
FME	freseniusmedicalcare.com	FRESENIUS MEDICAL CARE AG	Health Care	Germany	FRESENIUS MEDICAL CARE; FRESENIUS KIDNEY CARE; NXSTAGE; LIBERTY; 4008 SERIES; 5008 SERIES; NOVALUNG; NEPHROCARE; AQUABPLUS; CICAFLEX
EDP	edp.com	EDP ENERGIAS DE PORTUGAL SA	Utilities	Portugal	EDP; EDP RENOVÁVEIS; EDP COMERCIAL; E-REDES; EDP BRASIL; EDP VENTURES; MOVE ON; SU ELETRICIDADE; EDP SOLAR; EDPON
EN	bouygues.com	BOUYGUES SA	Industrials	France	BOUYGUES CONSTRUCTION; BOUYGUES IMMOBILIER; COLAS; TF1; BOUYGUES TELECOM; EQUANS; AXIONE; BOUYGUES ÉNERGIES & SERVICES; MICHEL FUGAIN; ROADLINK
MB	mediobanca.com	MEDIOBANCA BANCA DI CREDITO FINANZ	Financials	Italy	MEDIOBANCA; CHEBANCA!; COMPASS; RAM ACTIVE INVESTMENTS; MESSIER MARIS & ASSOCIÉS; CAIRN CAPITAL; MB PRIVACY; MB SECURITIES USA; MBFACTA; SELLA HOLDING
GALD	galderma.com	GALDERMA GROUP N AG	Health Care	Switzerland	CETAPHIL; DIFFERIN; RESTYLANE; DYSPORT; AZZALURE; ALLUZIENCE; SCULPTRA; EPIDUO; PROACTIV; TRILUMA
RTO	rentokil-initial.com	RENTOKIL INITIAL PLC	Industrials	United Kingdom	RENTOKIL; INITIAL; TERMINIX; EHRLICH; AMBIUS; STERITECH; WESTERN EXTERMINATOR; RENTOKIL PCI; BOECKER; RENTOKIL TROPICAL PLANTS
AGS	ageas.com	AGEAS SA	Financials	Belgium	AGEAS; AG INSURANCE; AGEAS PORTUGAL; AGEAS SEGUROS; AGEAS FEDERAL LIFE; TESCO UNDERWRITING; RIAS; CAR INSURANCE AGEAS; AGEAS RE; OCASO
G1A	gea.com	GEA GROUP AG	Industrials	Germany	GEA; Tuchenhagen; Hilge; Westfalia Separator; Niro; Niro Soavi; Procomac; Comas; Bock; Asecomix
SGRO	segro.com	SEGRO REIT PLC	Real Estate	United Kingdom	SEGRO
VACN	vatgroup.com	VAT GROUP AG	Industrials	Switzerland	VAT; VATRING; VATSEAL; VATLOCK; VATRAPID; VAT Series 120; VAT Series 640; VAT Series 263; VALVAT; VATRAN
IAG	iairgroup.com	INTERNATIONAL AIRLINES GROUP SA	Industrials	Spain	British Airways; Iberia; Aer Lingus; Vueling; LEVEL; IAG Cargo; IAG Loyalty; Avios; BA CityFlyer; Iberia Express
UU.	unitedutilities.com	UNITED UTILITIES GROUP PLC	Utilities	United Kingdom	United Utilities; United Utilities Water; VERTEX Outsourcing; Water Plus
BVI	bureauveritas.com	BUREAU VERITAS SA	Industrials	France	Bureau Veritas; BVQI; VeriFuel; VeriCert; SafeGuard; Veristar; VeriAuditor; BV Green Line; BV Certification; BV Mode
CCH	coca-colahellenic.com	COCA COLA HBC AG	Consumer Staples	United Kingdom	Coca-Cola; Coca-Cola Zero Sugar; Fanta; Sprite; Schweppes; Monster; Powerade; Costa Coffee; Fuze Tea; Bonaqua
AC	group.accor.com	ACCOR SA	Consumer Discretionary	France	Sofitel; Pullman; MGallery; Novotel; Mercure; ibis; ibis Styles; ibis Budget; Fairmont; Raffles
WRT1V	wartsila.com	WARTSILA	Industrials	Finland	Wärtsilä; Wärtsilä HY; Wärtsilä 31DF; Wärtsilä 50DF; LNGPac; Aquarius; EnergoProFin; NaviBridge; Smart Marine; Fleet Operations Solution
ITRK	intertek.com	INTERTEK GROUP PLC	Industrials	United Kingdom	Intertek; Intertek Tick Mark; ETL Listed; WH Mark; S Mark; Warnock Hersey; Green Leaf; Clean Air; Intertek Certification; SATELLITE
QIA	qiagen.com	QIAGEN NV	Health Care	Germany	QIAGEN; QuantiFERON; QIAamp; RNeasy; DNeasy; QIAseq; QIAcube; QIAstat-Dx; GeneReader; CLC Genomics
MKS	marksandspencer.com	MARKS AND SPENCER GROUP PLC	Consumer Staples	United Kingdom	Marks & Spencer; M&S Food; Autograph; Per Una; Blue Harbour; Goodmove; Rosie; Jaeger; M&S Collection; Collezione
BNZL	bunzl.com	BUNZL	Industrials	United Kingdom	Greenham; Lockhart; Keenpac; Tri-Star; Protec Direct; Woodway; Lightning Packaging; Arrow County; Comax; Bunzl Cleaning & Hygiene
SMIN	smiths.com	SMITHS GROUP PLC	Industrials	United Kingdom	John Crane; Flex-Tek; Smiths Detection; Smiths Interconnect; Smiths Medical; Graseby; Sabre; Polyflex; Seeburg; Indigo Vision
URW	urw.com	UNIBAIL RODAMCO WE STAPLED UNITS	Real Estate	France	Westfield; URW Airports; Westfield Rise; URW Lab; URW for Good
ELE	endesa.com	ENDESA SA	Utilities	Spain	Endesa; Endesa X; Endesa Energía; Endesa Distribución; e-Distribución; Endesa Renovables; Endesa Generación; Enel Green Power España; Xpande; Tu Tarifa Endesa
PST	posteitaliane.it	POSTE ITALIANE	Financials	Italy	Poste Italiane; BancoPosta; PostePay; PosteMobile; SDA; Postel; Poste Vita; Poste Assicura; Poste Energia; Poste Casa
